source,reference,translation,bleu_score
ຂໍ້ມູນໄດ້ສູນຫາຍໄປໃນຮາດດຣາຍ ທີ່ເປັນເຈົ້າຂອງໂດຍ ບໍລິສັດປະເມີນການຂັບຂີ່ ເພຍສັນ ຈຳກັດ ຜູ້ຮັບເໝົາເອກະຊົນຂອງ ອົງການມາດຕະຖານການຂັບຂີ່ ສະຫະລາຊະອານາຈັກ.,"Dữ liệu bị mất trong một ổ cứng sở hữu bởi công ty TNHH Pearson Driving Assessments, đối tác tư nhân của cục tiêu chuẩn lái xe Anh.",Dữ liệu đã biến mất ở Harvard được sở hữu bởi công ty đánh giá lái xe giới hạn các nhân viên của tổ chức đánh giá lái xe của Liên Hiệp Quốc,14.482189302397742
ຂໍ້ມູນໄດ້ຖືກສະໜອງໂດຍ ເລຂາທິການຂົນສົ່ງ ສະຫະລາຊະອານາຈັກ ຣູດ ເຄລີ່ ໃນສະພາຕໍ່າ ທີ່ 1730 UTC ມື້ວານນີ້.,"Thông tin chi tiết được cung cấp bởi Bộ trưởng Giao thông Anh, Ruth Kelly, tại Hạ nghị viện ngày hôm qua lúc 17:30 theo Giờ Phối hợp Quốc tế.",Dữ liệu được cung cấp bởi tổ chức giao thông quốc tế Rwanda ở Quốc hội năm ngoái năm hôm qua,7.682182503954418
ນີ້ແມ່ນການສູນເສຍຄັ້ງສຳຄັນຂອງຂໍ້ມູນໃນ ສະຫະລາຊະອານາຈັກ ຕັ້ງແຕ່ຂໍ້ມູນຂອງ 25 ລ້ານຄົນ ໄດ້ສູນຫາຍໄປໂດຍ HM ເຮເວີນູ ໃນເດືອນຕຸລາ.,Đây là vụ mất dữ liệu lớn đầu tiên tại Anh kể từ khi Cục Thuế làm mất dữ liệu của 25 triệu người vào tháng Mười.,Đây là một sự mất mát lớn của dữ liệu ở Liên Hiệp Quốc từ 25 triệu người đã mất mát bởi HM Haiti vào tháng 10,9.20046843413807
ໃນການໃຫ້ການຂອງລາວຕໍ່ MPs ຣູດ ເຄລີ່ ໄດ້ຢັ້ງຢືນວ່າ ບໍ່ມີຂໍ້ມູນທະນາຄານ ໄດ້ຖືກບັນຈຸຢູ່ໃນການສູນເສຍຂໍ້ມູນ ພ້ອມທັງວັນເດືອນປີເກີດຂອງແຕ່ລະບຸກຄົນ.,"Trong tuyên bố với MPs, Ruth Kelly đã khẳng định rằng trong dữ liệu bị mất không có thông tin ngân hàng cũng như ngày sinh của các cá nhân.",Trong bài nói chuyện của ông ấy với MPs Rwanda đã đánh giá rằng không có dữ liệu ngân hàng được gắn vào mất dữ liệu cả tháng sinh nhật của mỗi cá nhân,5.474870710453654
"ລາວໄດ້ຢັ້ງຢືນວ່າ ການກວດສອບຄວາມປອດໄພທີ່ໄດ້ດຳເນີນນັ້ນ ແລະ ຂໍ້ມູນທີ່ໄດ້ຖືກເກັບຮັກສາໄດ້ຮັບການຈັດແຈງ ""ການກຽມພ້ອມໃນການນຳໃຊ້ ຫຼື ການເຂົ້າເຖິງ"" ໂດຍການນຳໃຊ້ແບບມາດຕະຖານ.","Bà nhấn mạnh rằng các biện pháp an ninh đã được tiến hành, và các thông tin không được lưu dưới dạng có thể ""sẵn sàng sử dụng hoặc truy cập"" bằng các phương pháp thông thường.",Ông ấy đã chứng minh rằng sự kiểm tra an toàn đã được thực hiện và dữ liệu được lưu trữ bằng cách chuẩn bị sử dụng hoặc sử dụng bằng tiêu chuẩn,5.3986533578805345
ຮູບແບບການເມືອງໃນ ສະຫະລາຊະອານາຈັກ ສືບຕໍ່ຍົກບັນຫາ ກ່ຽວກັບ ສອງບັນຫາຂອງ ການສູນເສຍຂໍ້ມູນສະເພາະ ແລະ ປະສິດທິພາບໃນການປະຕິບັດໜ້າທີ່ຂອງລັດຖະບານ ຕໍ່ການລວບລວມ ແລະ ການເກັບຮັກສາຂໍ້ມູນດ້ວຍຄວາມປອດໄພ.,Các đảng phái chính trị tại Anh tiếp tục tỏ ra lo ngại về vụ việc mất dữ liệu cụ thể này và cả khả năng của Chính phủ trong việc thu thập và bảo vệ thông tin một cách an toàn.,Hình dạng chính trị ở Liên Hiệp Quốc tiếp tục giải quyết hai vấn đề về sự mất mát thông tin đặc biệt và hiệu quả trong hoạt động của chính phủ về việc tổng hợp và sự lưu trữ thông tin với an toàn,3.8674683002689934
"ຊູຊານ ຄຣາເມີ ຜູ້ຕາງໜ້າ ພັກເສລີນິຍົມປະຊາທິປະໄຕ ໄດ້ກ່າວວ່າ ""ບັນຫານີ້ມີຈູດປະສົງການໃນການຮວບຮວມຂໍ້ມູນ ຮັບເອົາຂໍ້ມູນໃຫ້ຫຼາຍຂຶ້ນ ເພື່ອເປັນການທຳຄວາມຮູ້ຈັກກັບເຈົ້າ ເພື່ອເຊື່ອມຕໍ່ສິ່ງດັ່ງກ່າວເຂົ້າຫາກັນ ທັງໝົດນີ້ມັນກາຍເປັນຄຳຖາມສຳລັບຂ້ອຍ.""","Susan Kramer, đại diện cho Đảng Dân chủ Tự do tuyên bố ""Liên tục mưu toan thu thập thông tin nhiều hơn nữa, liên kết chúng với nhau nhiều hơn nữa, tìm hiểu về bạn nhiều hơn nữa, tất cả những điều này là một nghi vấn rất lớn đối với tôi.""",Sarah Cyrus người đại diện của tự do dân chủ nói rằng vấn đề này có mục đích tập hợp thông tin nhiều hơn để tạo ra sự hiểu biết với bạn để kết nối tất cả những thứ này với nhau nó trở thành câu hỏi cho tôi quot,7.89424036467068
ນັກວິຈານໄດ້ຖືກຕັ້ງເປົ້າໝາຍທີ່ຄວາມພະຍາຍາມຂອງລັດຖະບານ ໃນວຽກງານຂອງ ຈຽນ ເຊັງ ທີ່ ສະພາສູງຂອງ ອົສເຕເລຍ ເດືອນມີນາ ທີ 28 ແລະ 29 ໂດຍການສົ່ງຕໍ່ຂອງເຮືອຜີ ເຮືອບັນທຸກນ້ຳມັນ ຈຽງ ເຊັງ ທີ່ໄດ້ຖືກພົບປ່ອຍຖິ້ມໄວ້ ແລະ ປີດສະນິກທີ່ອ່າວ ກາຣ໌ຕາເປັນຕາເຣຍ.,"Tại cuộc họp của Thượng viện Úc ngày 28 và 29 tháng Ba, nhiều chỉ trích đã nhắm tới những nỗ lực của Chính phủ trong vụ việc xử lý con tàu ma, tàu chở dầu Jian Seng, được tìm thấy bị bỏ hoang và không có ánh đèn ở vịnh Carpentaria.",Các nhà phê bình đã tạo ra mục tiêu của chính phủ trong công việc của Joshua tại Hội đồng Quốc hội Ấn Độ tháng 3 28 và 29 bằng cách gửi tới các chiếc tàu sản xuất dầu của Joshua được phát hiện ra và những chiếc tàu sản xuất tại vịnh Cyrus,4.184997211347777
"ວຸດທິສະພາ ໂຈ ລັດວິກ (ພັກແຮງງານ ຄວິນແລນ) ໄດ້ຖາມ ທ່ານລັດຖະມົນຕີຍຸຕິທຳ ແລະ ວູດທິສະພາ ພາສີ ຄຣິສ ເອລລີຊັນ ໃນ ເຄວັສຊັນ ທາມ ວ່າລາວໄດ້ຢືນຢັນຄຳຮຽກຮ້ອງຂອງລາວ ທີ່ ລາວໄດ້ໃຫ້ການມື້ວານນີ້ ວ່າການຄົ້ນພົບຂອງ ຈຽນ ເຊັງ ໄດ້ຈຳລອງໃຫ້ເຫັນວ່າ ລັດຖະລານອົສເຕເລຍ ໄດ້ມີສ່ວນກ່ຽວຂ້ອງໃນ ""ການກວດກາທາງອາກາດ ແລະ ທະເລ ເພື່ອຂັດຂວາງເຮືອໃນເຫດການດັ່ງກ່າວ ແລະ ກໍ່ສຳເລັດແລ້ວ"" ແລະ ໄດ້ຖາມວ່າເປັນຫຍັງມັນຈຶ່ງເຮັດໃຫ້ ລັດຖະບານ ໃຊ້ເວລາເຖິງ ສອງອາທິດ ເພື່ອຂັດຂວາງເຮືອດັ່ງກ່າວ ຫຼັງຈາກທີ່ໄດ້ເຂົ້າມາໃນນ່ານນໍ້າອົສເຕເລຍແລ້ວ.","Thượng nghị sĩ Joe Ludwig (Đảng Lao động, bang Queensland) đã hỏi Bộ trưởng Tư pháp và Hải quan thượng nghị sĩ Chris Ellison trong thời gian chất vấn liệu ông còn bảo vệ quan điểm của mình ngày hôm qua khi cho rằng sự phát hiện ra tàu Jian Seng chứng tỏ rằng chính phủ Úc đã thực hiện ""giám sát trên không và trên biển để ngăn chặn tàu trong những trường hợp như thế này, và điều đó đã được thực hiện"", và hỏi lý do Chính phủ phải mất hai tuần để chặn con tàu sau khi nó đi vào vùng biển Úc.",Hội đồng quản lý tại Geneva đã hỏi các thủ tướng công bằng và Hội đồng Quốc tế Chris Anderson ở Geneva rằng ông đã đặt ra những yêu cầu của mình ông đã đưa ra ngày hôm qua rằng sự khám phá của Joshua đã tạo ra những sự phát hiện của Hồi giáo Ấn Độ đã liên quan tới việc kiểm tra không khí và biển để đánh bại các con tàu trong sự kiện đó và thành công và hỏi tại sao nó lại làm cho chính phủ dành 2 tuần để đánh bại các con tàu đó sau khi đến vùng đất Ấn Độ,4.3338107321545
"ວູດທິວະພາ ເອລລີຊັນ ໄດ້ຕອບວ່າ ຄັ້ງທຳອິດ ເຮືອດັ່ງກ່າວໄດ້ເຂົ້າມາໃນ ວັນທີ 8 ເດືອນມີນາ ""ມັນບໍ່ໄດ້ເຮັດຫຍັງຜິດກົດໝາຍ"" ແລະ ຕຳໜິຂໍ້ກ່າວຫາຂອງ ພັກຝ່າຍຄ້ານ ວ່າ ເຮືອໄດ້ລ່ອງໄປເປັນເວລາ ສິບເຈັດວັນ ເວົ້າໄດ້ວ່າ ""ມັນບໍ່ໄດ້ຖືກກ່າວວ່າໄດ້ຈອດເປັນເວລາທັງໝົດ 17 ວັນ.""","Thượng nghị sĩ Ellison trả lời rằng khi con tàu được nhìn thấy lần đầu vào ngày 8 tháng Ba ""nó đã không có hành động gì bất hợp pháp"", và chỉ trích tuyên bố của phe đối lập rằng con tàu đã trôi dạt mười bảy ngày, khi cho rằng ""con tàu không phải đã trôi dạt trong toàn bộ 17 ngày.""",Warren đã trả lời rằng lần đầu tiên chiếc tàu đó đã đến vào ngày 8 tháng 3 quot Không có gì sai lầm quot và cảnh báo tội phạm của chính phủ rằng chiếc tàu đã chạy trong vòng 10 ngày và nói rằng quot Không được nói rằng tất cả 17 ngày quot,7.0442530281823945
"ລັດວິກ ໄດ້ອ່ານຜ່ານບົດບັນທຶກ ທີ່ບໍ່ແມ່ນພາສີ ທີ່ໄດ້ກ່າວເຖິງເຮືອ ແຕ່ວ່າເປັນ ""ເຮືອຜ່ານອົສເຕເລຍ"" ແຕ່ ເອລລີຊັນ ໄດ້ປ້ອງກັນສິ່ງນີ້ ກ່າວວ່າ ລັດວິກ ""ຄິດວ່າເຮືອໂຄສະນາ ບໍ່ມີບົດບາດຢ່າງແນ່ນອນທີ່ຈະລະວັງສຳລັບ ອົສເຕເລຍ"" ແລະ ເອລລີຊັນ ຈະ ""ອີງຕາມບົດລາຍງານໃຫ້ສາຍດ່ວນ ແລະ ອອກໄປສຳຫຼວດເຮືອ.""","Ngài Ludwig tiếp tục lưu ý rằng không phải Hải quan phát hiện con tàu mà là một ""xà lan của Úc đi ngang qua"", nhưng ngài Ellison đã bảo vệ quan điểm của mình, nói rằng ngài Ludwig ""cho rằng các tàu thương mại hoàn toàn không có vai trò trong việc cảnh báo cho Úc"" và rằng bản thân ngài ""tin cậy vào các báo cáo gửi đến đường dây nóng của chúng tôi sau đó đi thanh tra các tàu.""",Chính phủ đã đọc qua một bài báo không phải thuế được gọi là tàu thuyền nhưng là tàu thuyền qua Ấn Độ nhưng Elizabeth đã ngăn chặn điều này nói rằng chính phủ đã nghĩ rằng tàu thuyền không có vai trò chính xác để cẩn thận cho Ấn Độ và Elizabeth sẽ dựa trên một bài báo để đưa ra một tờ báo và ra khỏi cuộc khảo sát,4.075425215309036
"ຫຼັງຈາກນັ້ນ ວຸດທິສະພາ ເຄລີ່ ໂອ ບຣຽນ (ພັກແຮງງານ ທັສມາເນຍ) ໄດ້ຕຳໜິ ການປະຕິບັດການປ້ອງກັນເກາະດອນຂອງລັດຖະບານ ແລະ ເນັ້ນໜັກເຖິງອັນຕະລາຍຂອງການເບິ່ງຂ້າມເຮືອໃນ ສິບເຈັດມື້ ເວົ້າໄດ້ວ່າ ""ມັນວາງກຳນົດ ແລະ ຍັງເປັນໄປໄດ້ທີ່ຈະວາງກຳນົfຄວາມສ່ຽງໃນການກັກກັນ ແລະ ສິ່ງແວດລ້ອມທີ່ບໍ່ມີສາເຫດ"" ແລະ ທີ່ ຈຽນ ເຊັງ ""ໄດ້ຖືກປະຕິເສດຄ່າທຳນຽມເຂົ້າ ທີ່ ທ່າເຮືອເວປາ...ມັນຈະໄດ້ຮັບການດຳເນີນໃດໆກໍ່ຕາມ.""","Tiếp đó, Thượng nghị sĩ Kerry O'Brien (Đảng Lao động, bang Tasmania) chỉ trích việc thực hiện phòng thủ bờ biển của Chính phủ, và nhấn mạnh sự nguy hiểm khi bỏ qua con tàu trong mười bảy ngày, nói rằng ""nó đã và có thể vẫn còn tạo ra các rủi ro không rõ ràng về môi trường và kiểm dịch"" và rằng tàu Jian Seng ""đã bị từ chối cập cảng Weipa. .Nó có thể đã vận chuyển bất cứ thứ gì.""",Sau đó Quốc hội hạt nhân Ohio đã phản ứng việc bảo vệ vùng đất của chính phủ và nhấn mạnh nguy hiểm của việc nhìn qua tàu trong vòng 7 ngày nói rằng quot Đó là quy tắc và cũng có thể là nguy hiểm trong việc nhìn vào tàu trong vòng 7 ngày nói rằng quot Đó là quy tắc và có thể là nguy hiểm trong việc nhìn vào môi trường và môi trường không có nguyên nhân quot và Joshua quot bị từ chối tiền vào tàu cá voi và nó sẽ được thực hiện bất cứ lúc nào quot,5.497523641087553
ວຸດທີສະພາ ເດວິດ ຈອນຊັນ (ພັກເສລີ ເວັສເທີນ ອົສເຕເລຍ) ໄດ້ອ່ານຜ່ານການໂຕ້ຖຽງທີ່ວ່າບໍ່ມີເລນຂົນສົ່ງ ໃນເຂດທີ່ ຈຽນ ເຊັງ ຖືກຄົ້ນພົບ ແລະ ຊັບພະຍາກອນນັ້ນຕໍ່ກັບ ການທຳລາຍເຮືອ ອາດເປັນຊ່ອງວ່າງໃນຂົງເຂດການປ້ອງກັນເກາະດອນ.,"Thượng nghị sĩ David Johnston (Đảng Tự do, bang Tây Úc) tiếp tục tranh luận rằng không có hành lang hàng hải nào hoạt động trong khu vực tìm thấy tàu Jian Seng, và các nguồn lực dành cho một con tàu vô hại sẽ tạo những lỗ hổng trong phòng thủ ven biển ở các địa điểm khác.",Vũ khí thống kê tự do tự do Edinburgh đã đọc qua những cuộc tranh luận rằng không có những con tàu ở những khu vực Hà Lan được phát hiện và nguồn lực đó đối với việc phá huỷ tàu có thể là một khoảng cách trong vùng bảo vệ đảo Hoả,8.275400282908647
ບາງທີອາດມີເຫດຄາດຕະກຳເກີດຂຶ້ນ ໃນວັນອາທິດ ທີ 31 ເດືອນກໍລະກົດ ອີງຕາມຕຳຫຼວດທ້ອງຖິ່ນ ທີ່ໄດ້ໃຫ້ການວ່າ ຢ່າງໜ້ອຍມີຜູ້ຕ້ອງສົງໃສສິບຄົນທີ່ຖືກສອບຖາມ.,"Theo cảnh sát địa phương vụ giết người có lẽ diễn ra vào Chủ Nhật, ngày 31 tháng Bảy, trong đó cũng nhấn mạnh rằng có ít nhất mười kẻ tình nghi đã bị thẩm tra.",Có thể có một sự kiện tội phạm xảy ra vào ngày 31 tháng 7 dựa trên cảnh sát địa phương đã đưa ra rằng ít nhất có 10 người phải đặt câu hỏi,11.378679147819339
ຮ່າງກາຍຂອງ ໂຈອານາ ດູດູຊິ ໄດ້ຖືກພົບໃກ້ກັບເຮືອນຂອງລາວ ທີ່ລາວອາໃສຢູ່ກັບລູກທີ່ມີອາຍຸໄດ້ຫຼາຍເດືອນ.,Thi thể của Joana Dudushi đã được tìm thấy ở gần căn hộ nơi bà sống với con nhỏ vài tháng tuổi.,Cơ thể của Joseph được gặp gỡ gần nhà của mình ông ấy sống với những đứa trẻ hàng tháng tuổi,6.146106554886093
ນັກແຂ່ງລົດ NASCAR ສະປິ້ງ ຄັບ ຊີລີ່ ຈີ່ມມີ້ ຈອນສັນ ໄດ້ຊະນະເປັນຄັ້ງທີສອງໃນການແຂ່ງຂັນຢ່າງຕໍ່ເນື່ອງ ຂອງລະດູການໃນວັນອາທິດ ໃນໄລຍະປີ 2010 ລີນ໊ອກສ໌ ອິນດັສຕຣີອັລ ທູລສ໌ 301 ທີ່ ນິວແຮມສະເຟຍ ມໍເຕິ້ ສະປີດເວຍ໌.,"Tại loạt giải đua của Hiệp hội đua Mỹ NASCAR, tay đua Jimmie Johnson đã chiến thắng cuộc đua liên tiếp lần hai trong mùa giải này vào ngày chủ nhật trong 2010 Lenox Industrial Tools 301 tại đường đua tốc độ cao New Hamspshire.",Nhiếp xe NaSCAR của NaSCAR John Johnson đã thắng thứ hai trong cuộc thi tiếp tục của mùa xuân vào ngày tuần vào năm 2010 Leonardo Gilberto Gilberto ở New York,3.008374646199487
ມັນແມ່ນໄຊຊະນະຄັ້ງທີຫ້າໃນລະດູປີ 2010 ຂອງ ຂຸດການແຂ່ງຂັນລົດແບບຜູ້ນຳມືອາຊີບຂອງ ສະຫະລັດ ເຮັດໃຫ້ລຳດັບຂອງລາວກັບ ເດນນີ່ ແຮມລິນ ສຳລັບການຊະນະທີ່ສະຫງ່າງາມ.,"Đó là chiến thắng lần thứ năm của anh trong mùa giải xe hơi chuyên nghiệp hàng đầu của Mỹ năm 2010, đưa anh lên trình độ với Denny Hamlin cho hầu hết các chiến thắng.",Đó là chiến thắng lần thứ 5 vào mùa năm 2010 của một cuộc thi xe tải những nhà lãnh đạo chuyên nghiệp Hoa Kỳ đã tạo ra chuỗi của mình với David Cameron để chiến thắng tuyệt vời,16.95672322510287
ໄຊຊະນະດັ່ງກ່າວເຮັດໃຫ້ ຈອນສັນ ມີ 190 ຄະແນນ (ລວມທັງ ຄະແນນພິເສດ 5ຄະແນນ) ເຮັດໃຫ້ລາວຈາກຍ້າຍລຳດັບທີ່ໃກ້ກັບຜູ້ນໍາ ເຄວິນ ຮາຣ໌ວິກ ຫຼາຍຂື້ນ ແຕ່ລາວກໍ່ຍັງມີແຕ່ 105 ຄະແນນ ເຊິ່ງຢູ່ຫຼັງອັນດັບສອງ.,"Chiến thắng đã mang lại cho Johson 190 điểm (bao gồm 5 điểm thưởng), đưa anh tiến gần hơn người dẫn điểm Kevin Harcick, nhưng anh vẫn kém người ở vị trí thứ hai 105 điểm.",Thắng lợi đó khiến John Kennedy có 190 điểm đặc biệt và 5 điểm đặc biệt khiến anh ấy chuyển tới một chuỗi gần với những nhà lãnh đạo Harvard nhưng anh ấy vẫn còn 105 điểm đằng sau điểm thứ hai,4.248274560651114
ຢູ່ໃນຈູດຄະແນນ ຮາຣ໌ວິກ ແລະ ຈອນສັນ ຍັງຄົງທີ່ໃນລຳດັບທີໜຶ່ງ ແລະ ສອງ.,"Trong các bảng điểm, Harvick và Johnson duy trì ở vị trí thứ nhất và thứ hai.",Trong danh sách Abraham Lincoln và John Johnson vẫn đang ở trong danh sách thứ hai và hai,5.557652328141919
ໄຄຣ໌ ບັຊ ຍັງຄົງຢູ່ໃນລຳດັບທີສາມເພາະວ່າລາວມີອຸບັດຕິເຫັດກັບ ເຈພ ເບີຕັນ ໃນຂະນະທີ່ ເພື່ອນໃນທີມຂອງລາວ ແຮມລິນ ແມ່ນທີສີ່.,"Kyle Busch, bởi vì va chạm của anh với Jeff Burton duy trì ở vị trí thứ ba trong khi đồng đội của anh Hamlin ở vị trí thứ tư.",Einstein vẫn đang ở trên thứ ba bởi vì anh ta có một cái gì đó với Mike trong khi bạn trong đội của anh ấy Joel là thứ tư,8.362749636734849
ກໍຣ໌ດົນ ເກີຕ໌ ບັຊ ມັຕ ເຄນເຊັດ ແລະ ເບີຕັນ ນຳມາຢູ່ໃນລຳັດັບຄະແນນໃນແປດອັນດັບ.,"Gordon, Kurt Busch, Matt Kensith, và Burton đứng ởcác vị trí tiếp theo trong nhóm tám người dẫn đầu. Gordon, Kurt Busch, Matt Kensith, và Burton đứng ởcác vị trí tiếp theo trong nhóm tám người dẫn đầu.",Larry Griffin Griffin và Bill trình bày trên 8 điểm,0.11465347905659395
ສະເຕເວິດ ຢ້າຍຂຶ້ນໜຶ່ງອັນດັບ ຫຼັງຈາກສຳເລັດ ການເປັນລຳດັບສອງ ແລະ ແມ່ນລຳດັບເກົ້າ ຄື ເກຣັກ ບິບໄຟ ລົງໄປລຳດັບສິບ.,"Stewart tiến lên một bậc sau khi về thứ hai và ở vị trí thứ chín, khi Greg Biffle xuống thứ mười.",Nathaniel lên một tầng lớp sau khi hoàn thành tầng lớp hai và tầng lớp 9 giống như Moses lửa xuống tầng lớp 11,5.6641802272004975
ມາກ ມາຕິນ ແລະ ຄາຣ໌ ເອັດເວີດ ອອກຈາກສີບສອງອັນດັບ ແລະ ປະຈຸບັນແມ່ນຢູໃນໄລຍະໄລ່ຕາມ.,"Mark Martin và Carl Edwards ở trong nhóm mười hai người đứng đầu, và hiện nay đang trong Cuộc rượt đuổi.",Sylvia và Charles Darwin từ hai điểm màu và hiện tại đang ở trong những giai đoạn tương đương,5.335564107849365
ມີການຢັ້ງຢືນແລ້ວວ່າ ມ້າແຂ່ງພັນແທ້ແປດໂຕ ທີ່ ແຣນວິກ ເລັສຄອສ ໃນ ຊິດນີ່ ໄດ້ຕິດເຊື້ອໄຂ້ຫວັດໃຫຍ່ມ້າ.,Đã có thông tin khẳng định rằng tám chú ngựa đua thuần chủng tại Trường đua Randwick ở Sydney đã bị nhiễm cúm ngựa.,Có một sự chứng minh rằng tám con ngựa đã chạy tới số lượng lớn của sốt rét trong số các con ngựa đã bị nhiễm cúm lớn,10.682827247639555
